"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[66-0-65-项目页-查看-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section.overflow-visible > div.report-content > div.main-chart.el-row > div.mono-column.el-col.el-col-7 > ul > li:nth-child(1) > span.mono-span'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-c^_Iterator13.MnveNext-None]",""
"passed","Thu Jun 04 18:02:25 CST 2020","Thu Jun 04 18:02:28 CST 2020","3165","","testrun","TestClass","","","test_run[14-0-13-从项目页-测试概览-点击网络下载均值-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div.main-chart.el-row > div.data-column.overview.el-col.el-col-7 > ul > li:nth-child(6) > span.name'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-网络下载均值-None]",""
"passed","Thu Jun 04 18:05:10 CST 2020","Thu Jun 04 18:05:12 CST 2020","1774","","testrun","TestClass","","","test_run[8-1-7-进入本地资源检测报告首页-刷新当前界面-[""refresh""]-[""none""]-get_text-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-side-menu > ul > li > a > span'""]-测试概览-None]",""
"skipped","Thu Jun 04 18:03:06 CST 2020","Thu Jun 04 18:03:06 CST 2020","0","","testrun","TestClass","","","test_run[124-0-123-从项目页-点击查看跳转到报告详情页面-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div.section-container.table-container > div.el-table.test-info-table.section-container.el-table--fit.el-table--border.el-table--enable-row-transition > div.el-table__body-wrapper.is-scrolling-none > table > tbody > tr > td.el-table_1_column_9 > div > button > span'""]-get_url-[""none""]-https://test.uwa4d.com/u/got/lua.html/report?dataKey=20200302103632qyn16ce6609&project=6977&engine=1-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[59-0-58-从报告详情页面-资源统计页面-点击资源统计-纹理资源-纹理资源资源数量-[""click""]-[""""""By.XPATH,'//*[@id=""uwa-main-app""]/div[2]/div[3]/div[2]/div[2]/div[1]/div[1]/label[1]/span[2]'""""""]-get_attr-[""""""(By.XPATH,'//*[@id=""uwa-main-app""]/div[2]/div[3]/div[2]/div[2]/div[1]/div[1]/label[1]/span[1]')|class""""""]-el-radio__input is-checked-None]",""
"skipped","Thu Jun 04 18:03:06 CST 2020","Thu Jun 04 18:03:06 CST 2020","0","","testrun","TestClass","","","test_run[129-0-128-项目页-点击HIGH-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section.overflow-visible > div.report-content > div.main-chart.el-row > div.pa-column.el-col.el-col-7 > ul > li:nth-child(5) > span.name'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-Userdata数量峰值-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[80-0-79-GOT-向上-[""page_up""]-[2]-get_text-[""By.CSS_SELECTOR,'#pane-gotProjects > div > div.projects-container > div > div > div.project-content > div.project-desc > div.project-desc-header > p'""]-已完成-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[103-0-102-从报告详情页面-逻辑代码页面-跳转到消息通知页面-[""perform_click""]-[""(By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-header > div > div > div > span > img')|(By.LINK_TEXT,'消息通知')""]-get_url-[""none""]-https://test.uwa4d.com/u/notifications.html-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[43-0-42-报告详情页面-Triangle峰值-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.engine-info.report-content > div.widget-container.el-row > div:nth-child(4) > div'""]-get_text-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.engine-info.report-content > div.line-chart.section-container > div > div.hchart-header > h3'""]-Triangle峰值-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[54-0-53-从报告详情页面-GPU信息页面-跳转到账户设置界面-[""perform_click""]-[""(By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-header > div > div > div > span > img')|(By.LINK_TEXT,'账户设置')""]-get_url-[""none""]-https://test.uwa4d.com/u/setting.html-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[23-0-22-报告详情页面-点击网络下载均值-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section.overflow-visible > div.report-content > div.main-chart.el-row > div.pa-column.overview.el-col.el-col-7 > ul > li:nth-child(6) > span.name'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-网络下载均值-None]",""
